file	start_line	start_col	kind	rule	expr	claimed_dst_file	claimed_dst_line	n_overload	verdict	correct_dst_file	correct_dst_line	note	verdict	correct_dst_file	correct_dst_line	note
targets/cJSON/cJSON.c	2717	13	call	規則2 閉世界で候補が一意	cJSON_CreateNumber	targets/cJSON/cJSON.c	2505	1	正				正			
targets/cJSON/cJSON.c	2760	13	call	規則2 閉世界で候補が一意	cJSON_Delete	targets/cJSON/cJSON.c	253	1	正				正			
targets/cJSON/cJSON.c	3137	22	call	規則2 閉世界で候補が一意	cJSON_Compare	targets/cJSON/cJSON.c	3072	1	正				正			
targets/cJSON/cJSON_Utils.c	324	18	call	規則2 閉世界で候補が一意	cJSON_IsObject	targets/cJSON/cJSON.c	3052	1	正				正			
targets/cJSON/cJSON_Utils.c	708	9	call	規則2 閉世界で候補が一意	cJSON_AddItemToArray	targets/cJSON/cJSON.c	2061	1	正				正			
targets/cJSON/cJSON_Utils.c	734	16	call	規則2 閉世界で候補が一意	cJSON_GetObjectItemCaseSensitive	targets/cJSON/cJSON.c	1988	1	正				正			
targets/cJSON/cJSON_Utils.c	745	10	call	規則2 閉世界で候補が一意	cJSON_IsString	targets/cJSON/cJSON.c	3032	1	正				正			
targets/cJSON/cJSON_Utils.c	797	9	call	規則2 閉世界で候補が一意	cJSON_free	targets/cJSON/cJSON.c	3202	1	正				正			
targets/cJSON/cJSON_Utils.c	985	13	call	規則2 閉世界で候補が一意	cJSON_AddItemToArray	targets/cJSON/cJSON.c	2061	1	正				正			
targets/cJSON/cJSON_Utils.c	1005	14	call	規則2 閉世界で候補が一意	cJSON_IsObject	targets/cJSON/cJSON.c	3052	1	正				正			
targets/cJSON/cJSON_Utils.c	1032	9	call	規則2 閉世界で候補が一意	cJSON_free	targets/cJSON/cJSON.c	3202	1	正				正			
targets/cJSON/cJSON_Utils.c	1114	9	call	規則2 閉世界で候補が一意	cJSON_AddItemToObject	targets/cJSON/cJSON.c	2119	1	正				正			
targets/cJSON/cJSON_Utils.c	1125	46	call	規則2 閉世界で候補が一意	cJSON_CreateString	targets/cJSON/cJSON.c	2531	1	正				正			
targets/cJSON/cJSON_Utils.c	1126	9	call	規則2 閉世界で候補が一意	cJSON_free	targets/cJSON/cJSON.c	3202	1	正				正			
targets/cJSON/cJSON_Utils.c	1131	47	call	規則2 閉世界で候補が一意	cJSON_Duplicate	targets/cJSON/cJSON.c	2784	1	正				正			
targets/cJSON/cJSON_Utils.c	1253	21	call	規則2 閉世界で候補が一意	cJSON_free	targets/cJSON/cJSON.c	3202	1	正				正			
targets/cJSON/cJSON_Utils.c	1438	13	call	規則2 閉世界で候補が一意	cJSON_AddItemToObject	targets/cJSON/cJSON.c	2119	1	正				正			
targets/cJSON/cJSON_Utils.c	1455	64	call	規則2 閉世界で候補が一意	cJSONUtils_GenerateMergePatch	targets/cJSON/cJSON_Utils.c	1473	1	正				正			
